Name,degree centrality,closeness centrality,betweenness centrality
PPIP5K2,9.079353550027238e-05,0.0,0.0
POU3F4,0.0020882513165062645,0.3081459047327768,1.033147430293513e-05
PDHB,0.00018158707100054475,0.0,0.0
PIK3R4,0.0003631741420010895,0.0,0.0
PDZRN3,0.0003631741420010895,0.0,0.0
NFS1,0.0003631741420010895,0.0,0.0
NID2,0.0003631741420010895,0.0,0.0
LARP4B,9.079353550027238e-05,0.0,0.0
LRFN3,9.079353550027238e-05,0.0,0.0
LARP6,0.00018158707100054475,0.0,0.0
LHX5,0.00045396767750136187,0.0,0.0
LALBA,0.00018158707100054475,0.0,0.0
LAMA2,9.079353550027238e-05,0.0,0.0
INPP5F,0.0003631741420010895,0.0,0.0
INTS12,0.00027238060650081714,0.0,0.0
HCRTR2,9.079353550027238e-05,0.0,0.0
HEMK1,0.0003631741420010895,0.0,0.0
GPR183,0.0005447612130016343,0.0,0.0
GNAT3,0.00045396767750136187,0.0,0.0
GIPC2,0.00018158707100054475,0.0,0.0
FBXO11,0.001180315961503541,0.0,0.0
EVI5,0.00018158707100054475,0.0,0.0
ENDOU,0.00018158707100054475,0.0,0.0
DSTN,0.0005447612130016343,0.0,0.0
